route_id,name,stem,status
55205937,Mook - Kranenburg (D) - Nijmegen - Arnhem 55km ENG 2026,mook - kranenburg (d) - nijmegen - arnhem,UNCOVERED
55205788,Mook - Kranenburg (D) - Nijmegen vlak 51 km ENG 2026,mook - kranenburg (d) - nijmegen vlak,UNCOVERED
55205819,Mook - Kranenburg (D) - Nijmegen vlak 50 km ENG 2026,mook - kranenburg (d) - nijmegen vlak,UNCOVERED
54907325,Mook - Venlo 69km ENG 2026,mook - venlo,UNCOVERED
56136096,Moret (loop Flagy&Gray) 48km ENG 2026,moret (loop flagy&gray),UNCOVERED
53546106,Moret - Melun (via Barbizon) 47km ENG 2026,moret - melun (via barbizon),UNCOVERED
55807194,Moret - Melun (via Thomery) 12km ENG 2026,moret - melun (via thomery),UNCOVERED
26487399,Moret - Nemours  49 km ENG 2026,moret - nemours,UNCOVERED
31559274,Moret - Nemours 38 km ENG 2026,moret - nemours,UNCOVERED
55299828,Mortagne-du-Nord - Bouchain (via Lewarde) 54 km ENG 2026,mortagne-du-nord - bouchain (via lewarde),UNCOVERED
31575754,Nemours - Moret 43 km ENG 2026,nemours - moret,UNCOVERED
53545709,Nemours - Moret (via Fontainebleau) 32km ENG 2026,nemours - moret (via fontainebleau),UNCOVERED
53545710,Nemours - Moret (via Fontainebleau) 54 km ENG 2026,nemours - moret (via fontainebleau),UNCOVERED
18687306,Neronville - Nemours 45 km ENG 2026,neronville - nemours,UNCOVERED
31567695,Neronville - Nemours 29 km ENG 2026,neronville - nemours,UNCOVERED
55107553,Nierlahnstein - Bad Breisig 41km ENG,nierlahnstein - bad breisig,UNCOVERED
55192767,Nierlahnstein - Bad Breisig 42km ENG,nierlahnstein - bad breisig,UNCOVERED
55487429,Nierlahnstein - Bad Breisig 42km ENG,nierlahnstein - bad breisig,UNCOVERED
55924768,Nierlahnstein - Bad Breisig 42km ENG (traced),nierlahnstein - bad breisig (traced),UNCOVERED
54674978,Nieuwpoort - Oudewater - Utrecht 46 km / 28 mi ENG 2026,nieuwpoort - oudewater - utrecht / mi,UNCOVERED
54591869,Nieuwpoort - Utrecht 45 km ENG 2026,nieuwpoort - utrecht,UNCOVERED
55205844,Nijmegen - Doornenburg - Arnhem 45km ENG 2026,nijmegen - doornenburg - arnhem,UNCOVERED
55205835,Nijmegen - Tolkamer - Arnhem 55 km ENG 2026,nijmegen - tolkamer - arnhem,UNCOVERED
55924769,Oberwesel - Nierlahnstein 37km ENG (traced),oberwesel - nierlahnstein (traced),UNCOVERED
30556112,Oude Wetering - Amsterdam (Nieuwe Meer) 28 km ENG 2026,oude wetering - amsterdam (nieuwe meer),UNCOVERED
41450686,Oudenaarde - Astene - Ghent (City) 42 km ENG 2024,oudenaarde - astene - ghent (city),UNCOVERED
52867487,Oudenaarde - Ghent (city) (via Deinze) 43 km ENG 2026,oudenaarde - ghent (city) (via deinze),UNCOVERED
31620689,Oudenaarde - Ghent (city) (via Gavere) 38 km ENG 2026,oudenaarde - ghent (city) (via gavere),UNCOVERED
54165408,Paris (Bougival) - Auvers-sur-Oise 35 km ENG 2026,paris (bougival) - auvers-sur-oise,UNCOVERED
55805083,Paris (Bougival) - Auvers-sur-Oise (via Ax Majeur) 45 km ENG 2026 rain route,paris (bougival) - auvers-sur-oise (via ax majeur) rain route,UNCOVERED
41461169,Paris (Bougival) - Paris (Arsenal) (via La Defense) 32 km ENG 2026,paris (bougival) - paris (arsenal) (via la defense),UNCOVERED
54175698,Paris (Bougival) - Paris (Pont-de-Sevres) 34 KM ENG 2026 Q-ENG,paris (bougival) - paris (pont- -sevres) q,UNCOVERED
52088191,Paris (Bougival) - Versailles (loop) 35 km ENG 2026,paris (bougival) - versailles (loop),UNCOVERED
52673440,Paris (city) - Paris (Bougival) (via La Défence) 33 km ENG 2026,paris (city) - paris (bougival) (via la défence),UNCOVERED
52673298,Paris (city) - Versailles - Paris (Bougival) 42 km ENG 2026 ALT,paris (city) - versailles - paris (bougival) alt,UNCOVERED
54165356,Paris (Pont-de-Sevres) - Paris (Bougival) 28 KM ENG 2026 Q-ENG,paris (pont- -sevres) - paris (bougival) q,UNCOVERED
55804344,Pont sur Yonne - Sens (Parc du Moulin a Tan) 44km ENG 2026 (T),pont sur yonne - sens (parc du moulin a tan) (t),UNCOVERED
55804373,Pont sur Yonne - Sens 35km ENG 2026 (T),pont sur yonne - sens (t),UNCOVERED
55804385,Pont-sur-Yonne - Moret 40km ENG 2026 (T),pont-sur-yonne - moret (t),UNCOVERED
55804419,Pont-sur-Yonne - Moret 35km ENG 2026 (T),pont-sur-yonne - moret (t),UNCOVERED
34340195,Pont-sur-Yonne - Sens 46 km ENG 2026,pont-sur-yonne - sens,UNCOVERED
41739356,Pont-sur-Yonne - Sens 34 km ENG 2026,pont-sur-yonne - sens,UNCOVERED
50273217,Purmerend - Alkmaar (via Egmond) 51 km ENG 2026,purmerend - alkmaar (via egmond),UNCOVERED
54360756,Purmerend - Alkmaar (via Egmond) 51 km ENG 2026 (white label),purmerend - alkmaar (via egmond) (white label),UNCOVERED
54360755,Purmerend - Alkmaar (via Heiloo) 37 km ENG 2026 (white label),purmerend - alkmaar (via heiloo) (white label),UNCOVERED
31595457,Péronne - Pont-l'Évêque (via Ham) 64 km ENG 2026,péronne - pont-l'évêque (via ham),UNCOVERED
49946894,Rab - Mišnjak - Rab 26km ENG 2026,rab - mišnjak - rab,UNCOVERED
19353591,Remagen - Koblenz 46 km ENG 2026,remagen - koblenz,UNCOVERED
54768592,Remagen - Koblenz 43 km ENG 2026,remagen - koblenz,UNCOVERED
47397313,Remich - Saarburg (via Saarschleife) 35 km ENG 2026,remich - saarburg (via saarschleife),UNCOVERED
25307217,Roermond - Arcen 49 km ENG 2026,roermond - arcen,UNCOVERED
25297716,Roermond - Schipperskerk 40 km ENG 2026,roermond - schipperskerk,UNCOVERED
54647111,Rotterdam (Boompjeskade) - Gouda 57 km ENG 2023,rotterdam (boompjeskade) - gouda,UNCOVERED
53330036,"Rotterdam (Coolhaven) - Waterbus 3,0 km ENG 2026","rotterdam (coolhaven) - waterbus ,",UNCOVERED
49215022,"Rotterdam (Oosterkade) - Waterbus  1,8 km / 1,1 mi ENG 2026","rotterdam (oosterkade) - waterbus , / , mi",UNCOVERED
54647257,Rotterdam - Kinderdijk - Gouda - Nieuwpoort 58km ENG,rotterdam - kinderdijk - gouda - nieuwpoort,UNCOVERED
54646653,Rotterdam - Kinderdijk - Nieuwpoort 42 km / 27 mi ENG 2026,rotterdam - kinderdijk - nieuwpoort / mi,UNCOVERED
50074263,"Rotterdam Architecture Tour 6,7 km ENG - extra","rotterdam architecture tour , - extra",UNCOVERED
50074131,Rotterdam Big City Skyline 14 km ENG - extra,rotterdam big city skyline - extra,UNCOVERED
49322980,Rødvig - Køge 44 km ENG 2026,rødvig - køge,UNCOVERED
55924742,Rüdesheim - Mainz 34 km ENG 2026 (traced),rüdesheim - mainz (traced),UNCOVERED
55924745,Rüdesheim - Mainz 40km ENG 2026 (traced),rüdesheim - mainz (traced),UNCOVERED
55924790,Rüdesheim - Mainz 39 km ENG 2026 (traced),rüdesheim - mainz (traced),UNCOVERED
55924803,Rüdesheim - Mainz 42 km ENG 2025 (traced),rüdesheim - mainz (traced),UNCOVERED
55924805,Rüdesheim - Mainz (via monastery) 39 km ENG 2026 (traced),rüdesheim - mainz (via monastery) (traced),UNCOVERED
26525090,Rüdesheim - Mainz (via river) 32 km ENG 2026,rüdesheim - mainz (via river),UNCOVERED
53384736,Rüdesheim - Mainz (via winelands) 33 km ENG 2026,rüdesheim - mainz (via winelands),UNCOVERED
43310476,Rüdesheim - Sankt Goar 33 km ENG 2026,rüdesheim - sankt goar,UNCOVERED
26606503,Saarburg - Remich (via Mannebach) 44 km ENG 2026,saarburg - remich (via mannebach),UNCOVERED
45154200,Saarburg - Remich (via Saarschleife) 35 km ENG 2026,saarburg - remich (via saarschleife),UNCOVERED
55583899,Sambeek - Cuijk 21km ENG 2026,sambeek - cuijk,UNCOVERED
43310464,Sankt Goar - Koblenz 38 km ENG 2026,sankt goar - koblenz,UNCOVERED
