stem,n_routes,has_EN,assigned_EN,has_DE,assigned_DE,has_NL,assigned_NL,has_FR,assigned_FR,has_OTHER,assigned_OTHER,covered_any,example_ids
breukelen - amsterdam (tolhuis),1,Y,,,,,,,,,,,55226763
breukelen - muiden,1,,,,,,,,,Y,,,55883707
breukelen - nigtevecht (rs),1,Y,,,,,,,,,,,45002540
breukelen - utrecht (alt),1,Y,,,,,,,,,,,49760151
breukelen - utrecht (centrum) / 22mi,1,Y,Y,,,,,,,,,Y,26544361
breukelen - utrecht (centrum)(epr) / 22mi,2,Y,,Y,,,,,,,,,"55806616,55806764"
breukelen - utrecht (centrum)(epr) / 22mi nld,1,,,,,,,,,Y,,,55806814
breukelen - utrecht (neude),1,,,Y,,,,,,,,,26920953
breukelen - utrecht (neude) / 10mi,1,Y,Y,,,,,,,,,Y,26544454
breukelen - utrecht (neude) nld,2,,,,,,,,,Y,,,"49523012,49523229"
breukelen - vreeland - utrecht (neude),1,,,Y,,,,,,,,,26920950
breukelen - zaandam,2,Y,,,,,,,,,,,"54311578,54311581"
bruges (city centre) - lovendegem,1,Y,,,,,,,,,,,55376518
bruges - blankenberge (loop),2,Y,,Y,Y,,,,,,,Y,"55680260,55695391"
bruges - blankenberge loop,2,Y,,Y,Y,,,,,,,Y,"53844945,53853263"
bruges - blankenberge loop ( ),1,Y,,,,,,,,,,,55451592
bruges - damme,3,Y,,Y,Y,,,,,Y,,Y,"55451579,55680241,55695412"
bruges - damme (loop),5,Y,Y,Y,Y,,,,,,,Y,"29010740,53844944,53846187,53853120"
bruges - damme (schleife),1,,,Y,,,,,,,,,53677094
bruges - ghent (city) (via aalter-brug),1,Y,Y,,,,,,,,,Y,41699453
bruges - ghent (city) (via bulskampveld),1,Y,Y,,,,,,,,,Y,49141390
bruges - ghent (stadt) (über aalter-brug),1,,,Y,,,,,,,,,53677211
bruges - ghent (stadt) (über bulskampveld),1,,,Y,,,,,,,,,53677208
bruges - haan (loop),1,Y,Y,,,,,,,,,Y,26848655
bruges - haan (loop) (x),1,Y,,,,,,,,,,,53518103
bruges - haan (schleife),1,,,Y,,,,,,,,,53677087
bruges - lissewege (loop),1,Y,Y,,,,,,,,,Y,26848663
bruges - lissewege (schleife),1,,,Y,,,,,,,,,53677090
bruges - lovendegem,2,Y,,Y,,,,,,,,,"53839173,53846208"
bruges - sluis (loop),1,Y,Y,,,,,,,,,Y,44702420
bruges bikeparking 't zand - dockingplace ship,1,,,,,,,,,Y,,,55451588
bruges city centre - lovendegem,1,,,Y,Y,,,,,,,Y,55677729
brugge 't zand - ligplaats schip,1,,,,,,,,,Y,,,55326857
brugge - blankenberge,1,,,,,,,,,Y,,,55884024
brugge - gent centrum,1,,,,,,,,,Y,,,55883686
brugge - gent merelbeke,1,,,,,,,,,Y,,,55883699
brügge - gent stadtmitte,1,,,Y,,,,,,,,,26883464
busje dag mag x: brugge - blankenberge vv,1,,,,,,,,,Y,,,55027908
busje dag mag x: gent - brugge,1,,,,,,,,,Y,,,55027870
busje dag mag x: muiden - breukelen - ligplaats nieuwegein,1,,,,,,,,,Y,,,55027739
busje dag mag x: schoonhoven - kinderdijk - dordrecht - willemstad,1,,,,,,,,,Y,,,55027701
busje dag mag x: tholen - antwerpen,1,,,,,,,,,Y,,,55027667
caderousse to avignon via orange and chateauneuf-du-pape track base,2,,,,,,,,,Y,,,"54752690,55616453"
cappy - corbie,2,Y,Y,,,,,,,,,Y,"49290619,53899242"
cappy - corbie (via thiepval),2,Y,Y,,,,,,,,,Y,"49290631,53899243"
chablis (loop) (t),1,Y,,,,,,,,,,,55804437
chateau neuf du pape - viviers,1,Y,,,,,,,,,,,55618315
chavanay - tournon,1,Y,,,,,,,,,,,55616445
chavanay - tournon ev17,1,Y,Y,,,,,,,,,Y,54691401
"château landon (walk) ,",1,,,,,,,,,Y,,,37018463
château-thierry - la ferté,2,Y,Y,,,,,,,,,Y,"31571004,44936014"
cochem - alf,2,Y,,Y,,,,,,,,,"55991161,55992252"
cochem - beilstein,1,Y,,,,,,,,,,,29303767
cochem - koblenz,2,Y,Y,Y,Y,,,,,,,Y,"53529607,55825002"
cochem - koblenz (traced),1,Y,,,,,,,,,,,55924806
cochem - koblenz nld,1,,,,,,,,,Y,,,55824980
cochem - treis-garden (loop via wine tasting),1,Y,Y,,,,,,,,,Y,47386282
cochem - treis-garden (rundgang über weinprobe),1,,,Y,,,,,,,,,53805725
cochem - zell,2,Y,Y,Y,,,,,,,,Y,"53805812,55992185"
cochem-beilstein-ediger eller-bremm-cochem (traced),1,,,,,,,,,Y,,,55924755
cologne - bonn,3,Y,,Y,,,,,,,,,"19353605,54749807,54768540"
comines - kortrijk - harelbeke,4,Y,Y,,,,,,,,,Y,"50032621,50040474,53899219,53899220"
comines - kortrijk - harelbeke (via tyne cot),2,Y,Y,,,,,,,,,Y,"50032598,53899221"
compiègne - pont-l'évêque,1,Y,Y,,,,,,,,,Y,31599948
compiègne - pont-l'évêque (via attichy),1,Y,Y,,,,,,,,,Y,31599992
compiègne - pont-sainte-maxence,1,Y,Y,,,,,,,,,Y,26575876
compiègne - pont-ste-maxence,1,Y,,,,,,,,,,,53469343
compiègne - soissons,1,Y,,,,,,,,,,,38685281
copenhagen - helsingør,2,Y,,Y,Y,,,,,,,Y,"50952514,53684541"
corbie - amiens,2,Y,Y,,,,,,,,,Y,"49293254,53899244"
corbie - amiens (via moreuil),2,Y,Y,,,,,,,,,Y,"49296021,53899245"
corbie - cappy,2,Y,Y,,,,,,,,,Y,"50030734,53899212"
corbie - cappy (via thiepval),2,Y,Y,,,,,,,,,Y,"50030721,53899213"
corinth-loutraki-perachora-corinth,1,,,,,,,,,Y,,,53932630
cote rotie loop ( ^ avg %),2,,,,,,,,,Y,Y,Y,"54893821,55616457"
cote rotie loop to tournon-sur-rhone track base,2,,,,,,,,,Y,,,"54752674,55616451"
creil - auvers-sur-oise,1,Y,,,,,,,,,,,26578715
cres - martinšćica,1,Y,,,,,,,,,,,49206530
cres - martinščica,1,,,,,,,,,Y,,,55428349
cuijk - arcen,2,Y,,Y,,,,,,,,,"38193638,53668534"
cuijk - arnhem,1,Y,,,,,,,,,,,55174994
cuijk - arnhem deu2026,1,,,,,,,,,Y,,,55175043
cuijk - grave - cuijk,2,Y,,Y,,,,,,,,,"54906763,54907421"
cuijk - grave - cuijk nld,3,,,,,,,,,Y,,,"50377327,54906266,54906293"
cuijk - groesbeek - arnhem,9,Y,,Y,,,,,,Y,,,"54873141,54906269,54906298,54906695"
cuijk - groesbeek - arnhem 2026ll,1,Y,,,,,,,,,,,55025129
cuijk - groesbeek - arnhem nld,4,,,,,,,,,Y,,,"44414746,54906259,54906286,55204247"
cuijk - groesbeek - nijmegen,2,Y,,Y,,,,,,,,,"55205561,55207045"
cuijk - groesbeek - nijmegen - arnhem nld,4,,,,,,,,,Y,,,"54408004,54906260,54906287,55204248"
cuijk - groesbeek - nijmegen nld,2,,,,,,,,,Y,,,"34468328,55204236"
cuijk - kleve - cuijk,2,Y,,Y,,,,,,,,,"54906777,54907408"
cuijk - kleve - cuijk nld,3,,,,,,,,,Y,,,"49291974,54906265,54906292"
cuijk - kranenburg (d) - nijmegen - arnhem,4,Y,,Y,,,,,,,,,"54906657,54907374,55205755,55207071"
cuijk - kranenburg (d) - nijmegen - arnhem nld,4,,,,,,,,,Y,,,"54408248,54906261,54906288,55204246"
cuijk - kranenburg (d) - nijmegen - arnhem nld michiel,1,,,,,,,,,Y,,,54476690
cuijk - kranenburg (d) - nijmegen vlak,2,Y,,Y,,,,,,,,,"55205746,55207061"
cuijk - kranenburg (d) - nijmegen vlak nld,2,,,,,,,,,Y,,,"34468448,55204237"
cuijk - lith,1,,,Y,,,,,,,,,53668501
cuijk - lith (alternative),1,Y,,,,,,,,,,,55108811
cuijk - lith (deviations ),1,Y,Y,,,,,,,,,Y,26660826
cuijk - venlo,2,Y,,Y,,,,,,,,,"54906509,54907277"
cuijk - venlo nld,3,,,,,,,,,Y,,,"49226615,54906253,54906281"
cépoy - neronville,4,Y,,Y,,,,,,,,,"31563702,31563862,55988793,55988846"
dag : gent stad - cruise dok (van)(x),2,,,,,,,,,Y,,,"54958360,54958369"
dag amsterdam,1,,,,,,,,,Y,,,54082165
dag haarlem - amsterdam,1,,,,,,,,,Y,,,54082601
"dag mag x: evergem - gent city ( , )",1,,,,,,,,,Y,,,55192864
dag mag x: merelbeke - gent city,1,,,,,,,,,Y,,,55192880
dag mag x: tholen - antwerpen,1,,,,,,,,,Y,,,54958456
dag zaandam - haarlem,1,,,,,,,,,Y,,,54082213
danube island - tulln / mi,1,Y,,,,,,,,,,,50553936
danube island - tulln / mi (rain alternative),1,Y,,,,,,,,,,,50936907
day : aalterbrug - brugge ' t zand (via boskampveld) (van)(x),1,,,,,,,,,Y,,,54958497
day : alt isenhagen - weißes moor - wolfsburg ( ),2,,,,,,,,,Y,Y,Y,"55093250,55191165"
