route_id,name,dist_km,cue_type,cue_note,measured_angle_deg,cue_lang,also_retrace,action,status
54976438,Arnhem - Tolkamer - Nijmegen - Arnhem 69km ENG,24.7,Uturn,Make a U-turn onto Schipperspoort,4.7,EN,,Delete spurious U-turn cue,TODO
55025129,Cuijk - Groesbeek - Arnhem 47km ENG 2026LL,16.25,Uturn,Make a U-turn onto Groesbeekseweg,0.5,EN,,Delete spurious U-turn cue,TODO
55025415,Mook - Arnhem 40km NLD 2026,34.97,Uturn,Make a U-turn onto Oude Huissenseweg,0.0,EN,,Delete spurious U-turn cue,TODO
55061542,Arnhem-Mijmegen Nassau,17.79,Uturn,Make a U-turn onto Klaverland,5.5,EN,,Delete spurious U-turn cue,TODO
55061542,Arnhem-Mijmegen Nassau,17.79,Uturn,Make a U-turn onto Klaverland,5.5,EN,,Delete spurious U-turn cue,TODO
55061542,Arnhem-Mijmegen Nassau,17.93,Uturn,Make a U-turn onto Klaverland,0.1,EN,,Delete spurious U-turn cue,TODO
55061542,Arnhem-Mijmegen Nassau,17.93,Uturn,Make a U-turn onto Klaverland,0.1,EN,,Delete spurious U-turn cue,TODO
55102427,Treis-Karden - Koblenz (via Burg Eltz) 44 km ENG 2026,3.61,Uturn,Make a U-turn onto Hauptstraße,7.3,EN,yes,Delete spurious U-turn cue,TODO
55135334,Huizen - Amsterdam (Tolhuis-Buikslotermeer) 35 km DEU 2026,33.68,Uturn,Make a U-turn onto De Ruijterkade,8.9,EN,yes,Delete spurious U-turn cue,TODO
55135334,Huizen - Amsterdam (Tolhuis-Buikslotermeer) 35 km DEU 2026,33.68,Uturn,Make a U-turn onto De Ruijterkade,8.9,EN,yes,Delete spurious U-turn cue,TODO
55140588,Amsterdam (Hoxton) - Breukelen 35 km ENG 2026,33.78,Uturn,Make a U-turn onto Kerkbrink,3.3,EN,,Delete spurious U-turn cue,TODO
55140588,Amsterdam (Hoxton) - Breukelen 35 km ENG 2026,33.78,Uturn,Make a U-turn onto Kerkbrink,3.3,EN,,Delete spurious U-turn cue,TODO
55174994,Cuijk - Arnhem 43km ENG 2026,37.79,Uturn,Make a U-turn onto Oude Huissenseweg,0.0,EN,,Delete spurious U-turn cue,TODO
55175043,Cuijk - Arnhem 43km DEU2026,37.79,Uturn,Make a U-turn onto Oude Huissenseweg,0.0,EN,,Delete spurious U-turn cue,TODO
55191934,Amsterdam (Hoxton) - Breukelen 38km ENG 2026,18.48,Uturn,Make a U-turn onto De Kleine Weer,5.1,EN,yes,Delete spurious U-turn cue,TODO
55204231,Werkendam - Biesbosch - Heusden kort 53 km NLD 2026,6.57,Uturn,Make a U-turn onto Nieuwe Merwedepad,0.5,EN,yes,Delete spurious U-turn cue,TODO
55204242,Werkendam - Biesbosch - (following the Dijk)  Heusden kort 55 km NLD 2025 (ALT),6.57,Uturn,Make a U-turn onto Nieuwe Merwedepad,0.5,EN,yes,Delete spurious U-turn cue,TODO
55204242,Werkendam - Biesbosch - (following the Dijk)  Heusden kort 55 km NLD 2025 (ALT),47.05,Uturn,Make a U-turn onto Maasdijk,1.6,EN,yes,Delete spurious U-turn cue,TODO
55204254,Arnhem - Tolkamer - Nijmegen - Arnhem 69km ENG,24.7,Uturn,Make a U-turn onto Schipperspoort,4.7,EN,,Delete spurious U-turn cue,TODO
55204255,Mook - Arnhem 40km NLD 2026,34.97,Uturn,Make a U-turn onto Oude Huissenseweg,0.0,EN,,Delete spurious U-turn cue,TODO
55204280,Amsterdam (Oosterdok) - Zaanse Schans - Haarlem (city) 47 km ENG 2026,1.69,Uturn,Make a U-turn,23.3,EN,,Delete spurious U-turn cue,TODO
55342262,Ytres - Péronne 53 km ENG 2026,34.17,Uturn,Make a U-turn onto D 197,0.8,EN,,Delete spurious U-turn cue,TODO
55465649,"Moret - Nemours  40 km ENG 2026 (via Rochess, gravel)",4.6,Uturn,Make a U-turn onto Route de la Plaine du Rosoir,0.8,EN,yes,Delete spurious U-turn cue,TODO
55551836,Aschaffenburg - Freudenberg 54km ENG 2026,6.44,Uturn,Wenden,7.4,DE,yes,Delete spurious U-turn cue,TODO
55551836,Aschaffenburg - Freudenberg 54km ENG 2026,42.1,Uturn,Wenden,6.1,DE,yes,Delete spurious U-turn cue,TODO
55599973,Alf - Bernkastel Kues 49km ENG 2026,25.27,Uturn,"Make a U-turn onto Bahnstraße, L 187",13.1,EN,yes,Delete spurious U-turn cue,TODO
55599973,Alf - Bernkastel Kues 49km ENG 2026,41.29,Uturn,Make a U-turn,2.3,EN,yes,Delete spurious U-turn cue,TODO
55617525,Tarascon – Pont du Gard – Avignon 57km ENG 2026,49.6,Uturn,Make a U-turn onto Chemin de la Grenouillère,1.8,EN,,Delete spurious U-turn cue,TODO
55617525,Tarascon – Pont du Gard – Avignon 57km ENG 2026,50.01,Uturn,Make a U-turn onto Chemin des Sages,9.2,EN,,Delete spurious U-turn cue,TODO
55805083,Paris (Bougival) - Auvers-sur-Oise (via Ax Majeur) 45 km ENG 2026 rain route,19.81,Uturn,"Make a U-turn onto Chemin du Touage and drive toward Herblay, Paris",0.6,EN,yes,Delete spurious U-turn cue,TODO
55805083,Paris (Bougival) - Auvers-sur-Oise (via Ax Majeur) 45 km ENG 2026 rain route,30.02,Uturn,Make a U-turn onto Chemin de la Voirie,9.9,EN,yes,Delete spurious U-turn cue,TODO
55806616,Breukelen - Utrecht (centrum)(EPR) 37km / 22mi ENG 2026,28.11,Uturn,Make a U-turn onto Oostwaard,1.6,EN,yes,Delete spurious U-turn cue,TODO
55820434,Amsterdam (Veemkade) - Zaanse Schans - Haarlem (city) 47 km ENG 2026,2.09,Uturn,Make a U-turn,23.3,EN,yes,Delete spurious U-turn cue,TODO
55834573,Dordrecht // Alblasserdam - Urecht [ALT] (centrum) (via Kinderdijk - Roosevelt) 65km,6.38,Uturn,Make a U-turn onto Nederwaard,0.1,EN,,Delete spurious U-turn cue,TODO
55889010,Grou - Sneek 56 km ENG 2026,25.23,Uturn,Make a U-turn onto Slachtedyk,0.8,EN,,Delete spurious U-turn cue,TODO
55889010,Grou - Sneek 56 km ENG 2026,51.28,Uturn,Make a U-turn,9.2,EN,,Delete spurious U-turn cue,TODO
55992071,Alf - Bernkastel-Kues 48 km ENG 2026,24.78,Uturn,"Make a U-turn onto Bahnstraße, L 187",13.1,EN,yes,Delete spurious U-turn cue,TODO
55992071,Alf - Bernkastel-Kues 48 km ENG 2026,40.8,Uturn,Make a U-turn,2.3,EN,yes,Delete spurious U-turn cue,TODO
55992660,Alf - Cochem 37 km ENG 2026,22.86,Uturn,Keer hier om,3.4,,yes,Delete spurious U-turn cue,TODO
55992748,Zell - Cochem 39 km ENG 2026,28.84,Uturn,Keer hier om,3.4,,yes,Delete spurious U-turn cue,TODO
55992873,Alf  - Cochem 31 km DEU 2026,4.73,Uturn,Make a U-turn,0.0,EN,yes,Delete spurious U-turn cue,TODO
56111478,Grou - Sneek 56 km DEU 2026,25.23,Uturn,Make a U-turn onto Slachtedyk,0.8,EN,,Delete spurious U-turn cue,TODO
56111478,Grou - Sneek 56 km DEU 2026,51.28,Uturn,Make a U-turn,9.2,EN,,Delete spurious U-turn cue,TODO
56125488,Andernach - Boppard 54km ENG 2026,26.46,Uturn,Make a U-turn,12.1,EN,,Delete spurious U-turn cue,TODO
56125488,Andernach - Boppard 54km ENG 2026,31.6,Uturn,Make a U-turn onto Didierstraße,2.3,EN,,Delete spurious U-turn cue,TODO
56136438,Grou - Sneek 56 km DEU 2026,25.23,Uturn,Make a U-turn onto Slachtedyk,0.8,EN,,Delete spurious U-turn cue,TODO
56136438,Grou - Sneek 56 km DEU 2026,51.28,Uturn,Make a U-turn,9.2,EN,,Delete spurious U-turn cue,TODO
56145712,Wageningen - Arnhem Wageningen 58 km NED 2026,2.8,Uturn,Make a U-turn onto Westbergweg,16.4,EN,,Delete spurious U-turn cue,TODO
