Row #;Tour (Tour__r.Name);Program;Day;Optie;Doel km;Gematchte CSV route;Verschil (km);Hoogtemeters;Zekerheid
165;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 13: Auvers-sur-Oise – Paris (Bougival);Optie 1;35;Auvers-sur-Oise - Paris (Bougival) 35 km ENG 2026;0,42;246,2;Hoog
165;France and Belgium: Paris - Bruges;Program: Bruges - Paris;Day 13: Auvers-sur-Oise – Paris (Bougival);Optie 2;48;Auvers-sur-Oise - Paris (Bougival) (via Ax Majeur) 48 km ENG 2026;0,04;302,2;Hoog
169;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 2: Paris (Bougival) – Auvers-sur-Oise;Optie 1;42;Paris (Bougival) - L'Isle-Adam 42 km ENG 2026;0,01;270,6;Redelijk
169;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 2: Paris (Bougival) – Auvers-sur-Oise;Optie 2;48;Paris (Bougival) - Auvers-sur-Oise (via Ax Majeure) 48 km ENG 2026;0,13;295,9;Hoog
170;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 3: Auvers-sur-Oise – Beaumont | Beaumont – Pont-Ste- Maxence;Optie 1;46;Beaumont - Chantilly - Pont-Ste-Maxence 46 km ENG 2026;0,49;372;Hoog
171;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 4: Pont-Ste.-Maxence – Compiègne;Optie 1;42;Pont-Ste-Maxence - Compiègne 42 km ENG 2026;0,1;295,9;Hoog
171;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 4: Pont-Ste.-Maxence – Compiègne;Optie 2;54;Pont-Ste-Maxence - Compiègne (hills / Pièrrefonds) 54 km ENG 2026;0,49;406,3;Hoog
172;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 5: Compiègne – Pont l’Évêque;Optie 1;42;Compiègne - Pont-l'Évêque 42 km ENG 2026;0,13;264,3;Hoog
172;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 5: Compiègne – Pont l’Évêque;Optie 2;52;Pont-l'Évêque - Péronne 52 km ENG 2026;0,14;266;Hoog
173;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 6: Pont l’Évêque – Haudival | Haudival – Péronne;Optie 1;52;Compiègne - Pont-l'Évêque (via Attichy) 52 km ENG 2026;0,21;330,4;Hoog
173;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 6: Pont l’Évêque – Haudival | Haudival – Péronne;Optie 2;60;Haudival - Péronne (via Ham & Péronne) 60 km ENG 2026;0,27;271;Hoog
175;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 8: Péronne – Ytres | Ytres – Havrincourt;Optie 1;42;Péronne - Ytres 45 km ENG 2026;3,01;364,2;Redelijk
175;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 8: Péronne – Ytres | Ytres – Havrincourt;Optie 2;52;Péronne - Ytres 53 km ENG 2026;1,41;416,9;Redelijk
176;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 9: Havrincourt – Arleux | Arleux – Pont Malin;Optie 1;44;Havrincourt - Arleux (via Masnières) 44 km ENG 2026;0,06;239,9;Hoog
176;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 9: Havrincourt – Arleux | Arleux – Pont Malin;Optie 2;56;Havrincourt - Arleux (via Vaucelles) 56 km ENG 2026;0,48;393,1;Hoog
177;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 10: Pont Malin – Denain | Denain – Doornik (Tournai);Optie 1;44;Denain - Tournai (via Saint-Amands) 44 km ENG 2026;0,02;161,2;Hoog
177;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 10: Pont Malin – Denain | Denain – Doornik (Tournai);Optie 2;56;Denain - Tournai (via Marchiennes & Saint-Amand) 56 km ENG 2026;0,45;219,6;Hoog
178;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 11: Doornik (Tournai) – Oudenaarde;Optie 1;41;Tournai - Oudenaarde (flat) 41 km ENG 2026;0,05;116,9;Hoog
178;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 11: Doornik (Tournai) – Oudenaarde;Optie 2;50;Tournai - Oudenaarde (hill) 50 km ENG 2026;0,36;367;Hoog
179;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 12: Oudenaarde – Ghent;Optie 1;51;Ghent (Lovendegem) - Bruges (via Bulskampveld) 49 km ENG 2026;1,88;185,6;Redelijk
180;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 13: Ghent – Bruges;Optie 1;49;Bruges - De Haan (loop) 51 km ENG 2026;2,41;152;Redelijk
181;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 14: Bruges;Optie 1;38;Bruges - Lissewege (loop) 38 km ENG 2026;0,09;124,6;Hoog
181;France and Belgium: Paris - Bruges;Program: Paris - Bruges;Day 14: Bruges;Optie 2;54;Bruges - Sluis (loop) 54 km ENG 2026;0,35;190,6;Hoog
199;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 2: Enkhuizen – Medemblik | Medemblik – Texel;Optie 1;24;Medemblik - Enkhuizen (via coast) 24 km ENG 2026;0,2;71,4;Hoog
199;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 2: Enkhuizen – Medemblik | Medemblik – Texel;Optie 2;40;Enkhuizen - Medemblik (via Twisk) 40 km ENG 2026;0,46;96,3;Hoog
200;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 3: Texel, roundtrip from/to Oudeschild;Optie 1;40;Texel (loop Oudeschild) 42 km ENG 2026;1,53;139,1;Redelijk
200;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 3: Texel, roundtrip from/to Oudeschild;Optie 2;49;Texel (loop ferry) 49 km ENG 2026;0,52;151,3;Hoog
202;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 5: Terschelling roundtrip | Terschelling – Harlingen;Optie 1;0;Den Helder: Ship - Ferry 2,1 km ENG 2026;2,09;7,8;Laag (niet toegepast)
203;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 6: Harlingen – Franeker – Makkum;Optie 1;40;Makkum - Franeker - Harlingen (via kust) 40 km ENG 2026;0,4;104,8;Hoog
203;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 6: Harlingen – Franeker – Makkum;Optie 2;45;Harlingen - Franeker - Makkum (via Bolsward) 45 km ENG 2026;0,12;129;Hoog
204;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 7: Makkum – Stavoren | Stavoren - Enkhuizen;Optie 1;28;Stavoren - Makkum 30 km ENG 2026;1,86;66,8;Redelijk
204;Sail & Bike Wadden Sea;Program: Frisian Sea;Day 7: Makkum – Stavoren | Stavoren - Enkhuizen;Optie 2;48;Stavoren - Makkum (via Bolsward) 49 km ENG 2026 Self Guided;0,86;120,9;Hoog
215;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 2: Wijk bij Duurstede – Wageningen | Wageningen – Arnhem;Optie 1;44;Wageningen - Arnhem (via Veluwe) DEU 43 km 2026;0,49;252,7;Hoog
216;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 3: Arnhem – Doesburg | Doesburg – Zutphen – Deventer;Optie 1;45;Doesburg - Deventer (über Zutphen) 45 km DEU 2026;0,08;170,7;Hoog
216;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 3: Arnhem – Doesburg | Doesburg – Zutphen – Deventer;Optie 2;55;Deventer - Kampen 51 km ENG 2026;4,37;215;Redelijk
217;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 4: Deventer – Wijhe | Wijhe – Kampen;Optie 1;40;Wijhe - Kampen (über Hattem) 38 km DEU 2026;2,38;151,2;Redelijk
217;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 4: Deventer – Wijhe | Wijhe – Kampen;Optie 2;56;Doesburg - Deventer (über Wichmond & Zutphen) 57 km DEU 2026;0,96;226;Hoog
218;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 5: Kampen – Elburg – Harderwijk;Optie 1;48;Wijhe - Kampen (über Heerde / Hattem) 48 km DEU 2026;0,36;208,7;Hoog
218;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 5: Kampen – Elburg – Harderwijk;Optie 2;56;Wijhe - Kampen (über Heerde / Hattem / Zwolle) 58 km DEU 2026;1,79;234,8;Redelijk
219;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 6: Harderwijk – Spakenburg – Huizen;Optie 1;45;Kampen - Harderwijk (über Elburg) 48 km DEU 2026;2,68;133,8;Redelijk
219;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 6: Harderwijk – Spakenburg – Huizen;Optie 2;56;Kampen - Harderwijk (über Flevoland, Elburg & Nunspeet) 59 km DEU 2026;2,56;226,6;Redelijk
220;Netherlands: Hansa Highlights;Program: Hanseatic highlights;Day 7: Huizen – Naarden – Muiden – Amsterdam;Optie 1;35;Huizen - Amsterdam (Tolhuis-Buikslotermeer) 35 km DEU 2026;0,35;138,1;Hoog
246;Holland: Best of Holland;Program: Best of Holland;Day 2: Zaandam – Zaanse Schans – Beemster – Hoorn;Optie 1;41;Zaandam - Hoorn 41 km DEU 2023;0,6;88,8;Hoog
246;Holland: Best of Holland;Program: Best of Holland;Day 2: Zaandam – Zaanse Schans – Beemster – Hoorn;Optie 2;51;Volendam-Diemen 47 km DEU 2022;4,24;152,8;Laag (niet toegepast)
247;Holland: Best of Holland;Program: Best of Holland;Day 3: Hoorn – Volendam | Volendam – Marken (ferry) | Marken – Waterland – Weesp;Optie 1;39;Volendam-Diemen 39 km DEU 2022;3,71;138,5;Redelijk
247;Holland: Best of Holland;Program: Best of Holland;Day 3: Hoorn – Volendam | Volendam – Marken (ferry) | Marken – Waterland – Weesp;Optie 2;46;Zaandam - Hoorn 50 km DEU 2023;0,58;117,7;Hoog
248;Holland: Best of Holland;Program: Best of Holland;Day 4: Utrecht – Schoonhoven | Schoonhoven – Dordrecht;Optie 1;32;Oude Wetering - Nieuwe Meer 29 km DEU 2025;2,99;92;Laag (niet toegepast)
248;Holland: Best of Holland;Program: Best of Holland;Day 4: Utrecht – Schoonhoven | Schoonhoven – Dordrecht;Optie 2;53;Schoonhoven - Alblasserdam - Rotterdam(Coolhaven) 32+3 km DEU 2022;2,1;205,9;Redelijk
249;Holland: Best of Holland;Program: Best of Holland;Day 5: Dordrecht – Alblasserdam (Waterbus) | Alblasserdam – Gouda;Optie 1;37;Rotterdam (Coolhaven) - Gouda 35 km DEU 2022;2,34;119,3;Redelijk
249;Holland: Best of Holland;Program: Best of Holland;Day 5: Dordrecht – Alblasserdam (Waterbus) | Alblasserdam – Gouda;Optie 2;52;Gouda - Oude Wetering 54 km DEU 2024;2,1;140,9;Redelijk
250;Holland: Best of Holland;Program: Best of Holland;Day 6: Gouda – Leiden – Uithoorn;Optie 1;33;Gouda - Oude Wetering 32 km DEU 2022;1,11;74,7;Redelijk
250;Holland: Best of Holland;Program: Best of Holland;Day 6: Gouda – Leiden – Uithoorn;Optie 2;52;Rotterdam (Coolhaven) - Gouda 50 km DEU 2022;1,93;149,8;Redelijk
251;Holland: Best of Holland;Program: Best of Holland;Day 7: Uithoorn – Amsterdam;Optie 1;26;Waterland Rundtour (Buiksloterweg) 28 km DEU 2022;1,67;88,4;Laag (niet toegepast)
282;France: Paris - Montargis;Montargis - Paris;Day 2: Montargis;Optie 1;45;Montargis (loop) 43 km ENG 2026;1,66;285;Redelijk
283;France: Paris - Montargis;Montargis - Paris;Day 3: Montargis – lock of Cepoy | lock of Cepoy – Néronville;Optie 1;39;Moret - Nemours (via Darvault) 39 km ENG 2026;0,1;208;Laag (niet toegepast)
283;France: Paris - Montargis;Montargis - Paris;Day 3: Montargis – lock of Cepoy | lock of Cepoy – Néronville;Optie 2;46;Neronville - Montargis 43 km ENG 2026;2,87;258,9;Redelijk
284;France: Paris - Montargis;Montargis - Paris;Day 4: Néronville – Nemours;Optie 1;29;Nemours - Neronville 32 km ENG 2026;3,02;172,1;Redelijk
284;France: Paris - Montargis;Montargis - Paris;Day 4: Néronville – Nemours;Optie 2;43;Moret - Nemours (via Darvault) 50 km ENG 2026;3,41;278,3;Redelijk
285;France: Paris - Montargis;Montargis - Paris;Day 5: Nemours – Moret-sur-Loing;Optie 1;32;Moret (loop, Gray) 27km ENG 2026;4,7;161,3;Redelijk
285;France: Paris - Montargis;Montargis - Paris;Day 5: Nemours – Moret-sur-Loing;Optie 2;43;Melun - Moret (via Barbizon & Fontainebleau) 40 km ENG 2026;2,82;264,6;Redelijk
286;France: Paris - Montargis;Montargis - Paris;Day 6: Moret-sur-Loing – Melun;Optie 1;40;Moret - Nemours  40 km ENG 2026 (via Rochess, gravel);0,02;400,8;Hoog
287;France: Paris - Montargis;Montargis - Paris;Day 7: Melun – lock of Evry  | lock of Evry – Paris;Optie 1;31;Melun (loop) 31km ENG 2026;0,32;182,4;Hoog
290;France: Paris - Montargis;Paris - Montargis;Day 2: Evry – Melun;Optie 1;30;Evry - Melun 30 km DEU 2025;0,55;138,5;Hoog
291;France: Paris - Montargis;Paris - Montargis;Dag 3: Melun – Moret-sur-Loing;Optie 1;40;Melun - Moret 40 km DEU 2025;0,15;250,1;Hoog
292;France: Paris - Montargis;Paris - Montargis;Day 4: Moret-sur-Loing – Nemours;Optie 1;38;Moret - Nemours 38 km DEU 2025;0,03;235,6;Hoog
292;France: Paris - Montargis;Paris - Montargis;Day 4: Moret-sur-Loing – Nemours;Optie 2;49;Moret - Nemours 49 km DEU 2025;0,13;347,2;Hoog
293;France: Paris - Montargis;Paris - Montargis;Day 5: Nemours – Néronville;Optie 1;35;Nemours - Neronville 35 km DEU 2025;0,06;172,7;Hoog
293;France: Paris - Montargis;Paris - Montargis;Day 5: Nemours – Néronville;Optie 2;45;Nemours - Neronville 45 km DEU 2025;3,29;216,1;Redelijk
294;France: Paris - Montargis;Paris - Montargis;Day 6: Néronville – Montargis;Optie 1;31;Neronville - Montargis 31 km DEU 2025;0,62;254,1;Hoog
294;France: Paris - Montargis;Paris - Montargis;Day 6: Néronville – Montargis;Optie 2;55;Neronville - Montargis 55 km DEU 2025;0,93;356;Hoog
295;France: Paris - Montargis;Paris - Montargis;Day 7: Montargis;Optie 1;45;Montargis loop 44 km DEU 2025;1,7;278,8;Redelijk
314;Holland: Tulip Tour 5 days;Program: Tulip 5 days F;Day 2: Zaandam – Zaanse Schans – Zaandam | Zaandam – Haarlem;Optie 1;24;Amsterdam (Buiksloterweg) - Zaanse Schans 23 km ENG 2026 (white label);0,65;74,6;Hoog
314;Holland: Tulip Tour 5 days;Program: Tulip 5 days F;Day 2: Zaandam – Zaanse Schans – Zaandam | Zaandam – Haarlem;Optie 2;34;Amsterdam (Buiksloterweg) - Zaanse Schans - Purmerend 34 km ENG 2026 (white label);0,33;94,8;Hoog
315;Holland: Tulip Tour 5 days;Program: Tulip 5 days F;Day 3: Haarlem – Keukenhof – Oude Wetering;Optie 1;38;Haarlem (Spaarndamseweg) - Keukenhof - Leiden 38 km ENG 2026 (white label);0,44;132,3;Hoog
315;Holland: Tulip Tour 5 days;Program: Tulip 5 days F;Day 3: Haarlem – Keukenhof – Oude Wetering;Optie 2;55;Haarlem (Spaarndamseweg) - Keukenhof - Oude Wetering 55 km ENG 2026 (white label);0,37;200,5;Hoog
316;Holland: Tulip Tour 5 days;Program: Tulip 5 days F;Day 4: Oude Wetering –Nieuwe Meer | Nieuwe Meer – Amsterdam;Optie 1;28;Amsterdam (Buiksloterweg) - Zaanse Schans - Zaandam 28 km ENG 2026 (white label);0,09;94,6;Laag (niet toegepast)
319;Holland: Tulip Tour 5 days;Tulip 5 day 2027;Day 2: Haarlem - Keukenhof - Haarlem;Optie 1;50;Haarlem - Nordsee - Haarlem 50 km DEU 2026;0,05;242,3;Hoog
320;Holland: Tulip Tour 5 days;Tulip 5 day 2027;Day 3: Haarlem - Alkmaar;Optie 1;50;Amsterdam (Minerva) - Haarlem - Amsterdam (Minerva) 50 km DEU 2024;0,25;185,2;Hoog
321;Holland: Tulip Tour 5 days;Tulip 5 day 2027;Day 4: Alkmaar - Zaanse Schans | Zaanse Schans - Amsterdam;Optie 1;41;Amsterdam (Minerva) - Haarlem (loop) 40 km ENG 2026;0,79;142,6;Hoog
331;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 1: Amsterdam – Weesp | test ride in Weesp;Optie 1;11;Ghent (city) - Lovendegem 10 km ENG 2026;0,6;30,2;Laag (niet toegepast)
332;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 2: Weesp – Utrecht | Utrecht – Vianen;Optie 1;47;Bergen op Zoom - Antwerpen over Woensdrecht 46 km;0,65;258,9;Laag (niet toegepast)
333;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 3: Vianen – Schoonhoven – Kinderdijk – Alblasserdam;Optie 1;22;Aalter-Brug - Bruges 22 km ENG 2026;0,05;76,7;Laag (niet toegepast)
333;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 3: Vianen – Schoonhoven – Kinderdijk – Alblasserdam;Optie 2;57;Vianen - Kinderdijk - Alblasserdam //  Dordrecht 57 km ENG 2026;0,12;138,8;Hoog
334;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 4: Dordrecht – Willemstad | Willemstad – Tholen;Optie 1;44;Willemstad - Bergen op Zoom (via Steenbergen) 44 km ENG 2026;0,33;146,6;Redelijk
335;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 5: Tholen – Kreekrak lock | Kreekrak locks –;Optie 1;20;Tholen - Kreekrak (east) 23 km ENG 2026;2,48;49,6;Redelijk
335;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 5: Tholen – Kreekrak lock | Kreekrak locks –;Optie 2;36;Tholen - Kreekrak (east) 33 km ENG 2026;3,37;146,1;Redelijk
337;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 7: Antwerp – Temse – St. Amands;Optie 1;34;Antwerp - St. Amands (via Waterbus) 30 km ENG 2026;3,52;126,7;Redelijk
337;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 7: Antwerp – Temse – St. Amands;Optie 2;49;Antwerp  - Dendermonde (via Waterbus) 42 ENG 2026;0,57;182,3;Hoog
338;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 8: St. Amands – Dendermonde | Dendermonde – Ghent;Optie 1;52;Antwerp - Dendermonde 53 km ENG 2026;0,9;192,3;Hoog
339;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 9: Ghent – Bruges;Optie 1;22;Bruges - Damme (loop) 22 km ENG 2026;0,56;79,6;Hoog
339;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 9: Ghent – Bruges;Optie 2;45;Dendermonde - Ghent (city) 45 km ENG 2026;0,27;166;Hoog
340;Holland and Belgium Relax Tour - 11 days;Amsterdam - Bruges;Day 10: Tour around Bruges to the North Sea;Optie 1;38;Bruges - Lissewege (loop) 38 km ENG 2026;0,09;124,6;Hoog
342;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 1: Bruges;Optie 1;11;Test ride: Bruges 11 km ENG 2026;0,16;39,7;Hoog
343;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 2: Roundtrip from/to Bruges & North Sea;Optie 1;38;Bruges - Lissewege (loop) 38 km ENG 2026;0,09;124,6;Hoog
344;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 3: Bruges – Aalterbrug | Aalterbrug – Ghent;Optie 1;37;Ghent (Merelbeke) - Dendermonde 39 km ENG 2026;1,63;126;Redelijk
344;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 3: Bruges – Aalterbrug | Aalterbrug – Ghent;Optie 2;45;Breukelen - Amsterdam (Oosterdok) 47 km ENG 2026;1,99;148,5;Laag (niet toegepast)
345;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 4: Ghent – Dendermonde/St. Amands;Optie 1;40;Tholen - Willemstad (via Steenbergen) 42 km ENG 2026;2,4;105,2;Laag (niet toegepast)
345;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 4: Ghent – Dendermonde/St. Amands;Optie 2;55;Bruges - Ghent (city) (via Bulskampveld) 57 km ENG 2026;1,59;226,1;Redelijk
346;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 5: St. Amands – Temse – Antwerp;Optie 1;33;St. Amands - Antwerp (via waterbus) 30+7 km ENG 2026;4,33;124;Redelijk
346;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 5: St. Amands – Temse – Antwerp;Optie 2;49;Dendermonde - Antwerp (via waterbus) 42+8 km ENG 2026;1,07;174,7;Redelijk
348;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 7: Antwerp – Kreekrak locks | Kreekrak loDay 7: Antwerp – Kreekrak locks | K;Optie 1;20;Kreekrak (east) - Tholen 23 km ENG 2026;2,45;40,7;Redelijk
348;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 7: Antwerp – Kreekrak locks | Kreekrak loDay 7: Antwerp – Kreekrak locks | K;Optie 2;36;St. Amands - Antwerp 40 km ENG 2026;4,44;158,4;Redelijk
349;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 8: Tholen – Willemstad | Willemstad – Dordrecht;Optie 1;36;Kreekrak (east) - Tholen 32 km ENG 2026;3,57;112,3;Redelijk
349;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 8: Tholen – Willemstad | Willemstad – Dordrecht;Optie 2;44;Tholen - Willemstad (via Oud Vossemeer) 46 km ENG 2026;1,52;107,3;Redelijk
350;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 9: Dordrecht – Alblasserdam (waterbus ferry) | Alblasserdam – Kinderdijk – S;Optie 1;32;Dordrecht // Alblasserdam - Kinderdijk - Schoonhoven 32 km ENG 2026;0,43;72,2;Hoog
350;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 9: Dordrecht – Alblasserdam (waterbus ferry) | Alblasserdam – Kinderdijk – S;Optie 2;57;Dordrecht // Alblasserdam - Kinderdijk - Vianen 57 km ENG 2026;0,01;137,1;Hoog
351;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 10: Vianen – Breukelen | Breukelen – Amsterdam;Optie 1;37;Breukelen - Amsterdam (Oosterdok) 38 km ENG 2026;1,05;110,6;Redelijk
351;Holland and Belgium Relax Tour - 11 days;Bruges - Amsterdam;Day 10: Vianen – Breukelen | Breukelen – Amsterdam;Optie 2;47;Bruges - Ghent (city) (via Aalter-Brug) 51 km ENG 2026;3,81;151,6;Laag (niet toegepast)
356;Holland: Sail and Bike Tulip Tour;Program Wapen/Leafde FF;Day 4: Wadden island of Texel: round trip | Oudeschild – Den Helder;Optie 1;43;Den Oever - Medemblik 43km ENG;0,87;125,5;Laag (niet toegepast)
356;Holland: Sail and Bike Tulip Tour;Program Wapen/Leafde FF;Day 4: Wadden island of Texel: round trip | Oudeschild – Den Helder;Optie 2;48;Texel (loop Oudeschild) 50 km ENG 2026 reverse;1,71;156,9;Redelijk
357;Holland: Sail and Bike Tulip Tour;Program Wapen/Leafde FF;Day 5: Den Helder – St. Maartensvlotbrug | St. Maartensvlotbrug – Alkmaar;Optie 2;53;Medemblik - Enkhuizen (via Hoorn ) 52 km ENG 2026 (N);0,88;141,6;Laag (niet toegepast)
358;Holland: Sail and Bike Tulip Tour;Program Wapen/Leafde FF;Day 6: Alkmaar – Zaandam;Optie 1;47;Zaandam - Hoorn 50 km ENG 2023;1,77;119,2;Redelijk
402;Holland: Sail and Bike Tulip Tour;Program Mare fan Fryslan;Day 2: Zaandam – Alkmaar;Optie 1;47;Zaandam - Hoorn 50 km ENG 2023;1,77;119,2;Redelijk
403;Holland: Sail and Bike Tulip Tour;Program Mare fan Fryslan;Day 3: Alkmaar – Den Helder;Optie 2;50;Medemblik - Enkhuizen (via Hoorn ) 52 km ENG 2026 (N);2,12;141,6;Laag (niet toegepast)
404;Holland: Sail and Bike Tulip Tour;Program Mare fan Fryslan;Day 4: Den Helder – Oudeschild | Wadden island of Texel: round trip;Optie 1;43;Den Oever - Medemblik 43km ENG;0,87;125,5;Laag (niet toegepast)
404;Holland: Sail and Bike Tulip Tour;Program Mare fan Fryslan;Day 4: Den Helder – Oudeschild | Wadden island of Texel: round trip;Optie 2;48;Texel (loop Oudeschild) 50 km ENG 2026 reverse;1,71;156,9;Redelijk
450;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 2:  Monnickendam / Volendam | Volendam – Hoorn;Optie 1;35;Volendam (loop) 35 km ENG 2026;0,44;91,1;Hoog
450;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 2:  Monnickendam / Volendam | Volendam – Hoorn;Optie 2;48;Volendam (loop) 48 km ENG 2026;0,06;108,8;Hoog
451;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 3: Hoorn – Enkhuizen | Enkhuizen – Urk;Optie 1;26;Hoorn - Enkhuizen (via coast) 26 km ENG 2026;0,04;61,3;Hoog
451;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 3: Hoorn – Enkhuizen | Enkhuizen – Urk;Optie 2;44;Hoorn - Enkhuizen (via Midwoud) 44 km ENG 2026;0,01;116,6;Hoog
452;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 4:  Urk – Vollenhove;Optie 1;30;Vollenhove - Schokkerhaven (via Schokland) 30 km ENG 2026;0,02;128,3;Hoog
452;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 4:  Urk – Vollenhove;Optie 2;44;Vollenhove - Giethoorn 40 km ENG 2026;3,98;94;Redelijk
453;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 5: Vollenhove – Giethoorn;Optie 1;40;Giethoorn - Vollehove 40 km ENG 2026;0,27;112,9;Hoog
453;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 5: Vollenhove – Giethoorn;Optie 2;52;Giethoorn - Vollehove 53 km ENG 2026;1,35;157,8;Redelijk
455;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 7: Lelystad – Blocq van Kuffeler | Blocq v.K – Amsterdam;Optie 1;20;Lelystad - Blocq van Kuffeler 20 km ENG 2026;0,19;25;Hoog
455;Sail and Bike IJsselmeer + National Parks;Program: IJsselmeer + National parks;Day 7: Lelystad – Blocq van Kuffeler | Blocq v.K – Amsterdam;Optie 2;29;Lelystad - Blocq van Kuffeler 29 km ENG 2026;0,5;53,7;Hoog
505;Holland: Tulip Tour Premium 8days;Program: Tulip8 Prem;Day 1: Amsterdam – Spaarndam | Spaarndam – Haarlem;Optie 1;6;Spaarndam - Haarlem (Spaarndamseweg) 6,7 km ENG 2026;0,66;25,6;Hoog
505;Holland: Tulip Tour Premium 8days;Program: Tulip8 Prem;Day 1: Amsterdam – Spaarndam | Spaarndam – Haarlem;Optie 2;14;Spaarndam - Haarlem (city) 14 km ENG 2026;0,16;55,9;Hoog
506;Holland: Tulip Tour Premium 8days;Program: Tulip8 Prem;Day 2: Haarlem – Keukenhof – Leiden;Optie 1;38;Leiden - Gouda 38 km ENG 2026;0,1;112,6;Hoog
507;Holland: Tulip Tour Premium 8days;Program: Tulip8 Prem;Day 3: Leiden – Gouda;Optie 1;37;Leiden - Gouda 36 km ENG 2026 Zoeterwoude;0,3;118,5;Hoog
