file,path,paragraphs,tables,chars,error
Lewarde Mijnmuseum.docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\Toeristische informatie\Lewarde Mijnmuseum.docx,19,0,3391,
Meetjesland van Gent naar Brugge.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\Toeristische informatie\Meetjesland van Gent naar Brugge.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Moerbrugge en de polders rond Brugge.docx,C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\knooppunten-toolset_1\knooppunten-toolset\draaiboek test\Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\Toeristische informatie\Moerbrugge en de polders rond Brugge.docx,,,,Package not found at 'C:\Users\MarcKuijn\OneDrive - Channel Cruises\Bureaublad\k
Oudenaarde.docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\Toeristische informatie\Oudenaarde.docx,72,0,14051,
Draaiboek Brugge-Parijs 2024.docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2024.docx,594,15,57463,
Draaiboek Brugge-Parijs 2025 (1).docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2025 (1).docx,578,15,56181,
Draaiboek Brugge-Parijs 2026.docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Brugge-Parijs 2026.docx,629,0,51409,
Draaiboek Parijs-Brugge 2024.docx,Information about a tour 2026\Premium_ Belgium & France_ Bruges – Paris or Paris – Bruges Premium\old\Draaiboek Parijs-Brugge 2024.docx,548,0,46886,
Brugge - Abbeville 2026 - teksten.docx,Information about a tour 2026\Premium_ Belgium & France_ Through Flanders Fields and along the Somme\Brugge - Abbeville 2026 - teksten.docx,156,0,19476,
Metz Hotel letter from BBT 2024.docx,Information about a tour 2026\Premium_ Cochem - Metz v.v (8 days and 9 days)\Welcome Letter Hotel Metz\Metz Hotel letter from BBT 2024.docx,33,0,1819,
