route_id,name,tour,program,day,option,language,match_status,source_row,day_desc,option_raw,target_km,diff_km,elev_m,confidence,applied
53437785|53516737|53516827,Day 5: Luxor – Esna,Egypt & The Nile – A Journey to Ancient wonders,Egypt & The Nile,5,1,,ambiguous,1657,Day 5: Luxor – Esna,Optie 1,51.0,0.59,185.6,Hoog,True
53437928|53516738|53516836,Day 6: Kom Ombo & Aswan,Egypt & The Nile – A Journey to Ancient wonders,Egypt & The Nile,6,1,,ambiguous,1658,Day 6: Kom Ombo & Aswan,Optie 1,31.0,2.18,166.5,Redelijk,True
53438029|53516742|53517245,Day 9 (1/2): Luxor West Bank,Egypt & The Nile – A Journey to Ancient wonders,Egypt & The Nile,7,1,,ambiguous,1659,Day 7: Aswan & Philae Temple,Optie 1,35.0,3.25,172.4,Laag (niet toegepast),False
53437978|53516741|53516851,Day 8: Edfu & Monastic Heritage,Egypt & The Nile – A Journey to Ancient wonders,Egypt & The Nile,8,1,,ambiguous,1660,Day 8: Edfu & Monastic Heritage,Optie 1,21.0,4.87,70.5,Redelijk,True
55380774|55616458,Tournon - La Voulte sur Rhône 47km ENG,France: Provence & the Rhône Valley,Lyon - Arles,2,1,EN,ambiguous,1709,Day 2: Along the Northern Rhône: Lyon – Chavanay – Tournon-sur-Rhône,Optie 1,45.0,2.16,209.8,Redelijk,True
54893821|55616457,Cote Rotie loop 37km (15km^ avg 3%),France: Provence & the Rhône Valley,Lyon - Arles,3,1,,ambiguous,1710,Day 3: ViaRhôna and  Ardèche Views: Tournon-sur-Rhône – La Voulte-sur-Rhône – Vi,Optie 1,40.0,2.51,659.6,Laag (niet toegepast),False
55617063|55617525,Tarascon – Pont du Gard – Avignon 57km ENG 2026,France: Provence & the Rhône Valley,Lyon - Arles,4,1,EN,ambiguous,1711,Day 4: Hilltop Villages and Rhône Wines: Viviers – Châteauneuf-du-Pape – Avignon,Optie 1,60.0,3.43,444.5,Laag (niet toegepast),False
54691556|55616447,Saint Etiennes des Sorts - Orange - Roquemare 35km ENG,France: Provence & the Rhône Valley,Lyon - Arles,5,1,EN,ambiguous,1712,Day 5: Avignon and Provençal Life: Avignon,Optie 1,40.0,4.39,229.7,Laag (niet toegepast),False
55505411|55616463,Tarascon - Chateau des Baux - Arles 54km,France: Provence & the Rhône Valley,Lyon - Arles,6,1,,ambiguous,1713,Day 6: Roman past at the Pont du Gard: Avignon – Pont du Gard – Tarascon,Optie 1,55.0,1.11,487.6,Laag (niet toegepast),False
55380990|55616459,Lamastre - La Voulte Sur Rhône (La Dolce Via) 66km ENG,France: Provence & the Rhône Valley,Lyon - Arles,7,2,EN,ambiguous,1714,Day 7: Van Gogh’s Provence: Tarascon – Arles,Optie 2,65.0,1.0,668.0,Laag (niet toegepast),False
55380990|55616459,Lamastre - La Voulte Sur Rhône (La Dolce Via) 66km ENG,France: Provence & the Rhône Valley,Arles - Lyon,2,2,EN,ambiguous,1717,Day 2: Van Gogh’s Provence: Arles – Tarascon,Optie 2,65.0,1.0,668.0,Laag (niet toegepast),False
55505411|55616463,Tarascon - Chateau des Baux - Arles 54km,France: Provence & the Rhône Valley,Arles - Lyon,3,1,,ambiguous,1718,Day 3: The Pont du Gard: Tarascon – Pont du Gard – Avignon,Optie 1,55.0,1.11,487.6,Laag (niet toegepast),False
55617063|55617525,Tarascon – Pont du Gard – Avignon 57km ENG 2026,France: Provence & the Rhône Valley,Arles - Lyon,3,2,EN,ambiguous,1718,Day 3: The Pont du Gard: Tarascon – Pont du Gard – Avignon,Optie 2,60.0,3.43,444.5,Redelijk,True
54893821|55616457,Cote Rotie loop 37km (15km^ avg 3%),France: Provence & the Rhône Valley,Arles - Lyon,4,1,,ambiguous,1719,Day 4: The Papal City: Avignon,Optie 1,40.0,2.51,659.6,Laag (niet toegepast),False
54691556|55616447,Saint Etiennes des Sorts - Orange - Roquemare 35km ENG,France: Provence & the Rhône Valley,Arles - Lyon,6,1,EN,ambiguous,1721,Day 6: Rhône or Ardèche: Viviers – La Voulte-sur-Rhône – Tournon-sur-Rhône,Optie 1,40.0,4.39,229.7,Laag (niet toegepast),False
55380774|55616458,Tournon - La Voulte sur Rhône 47km ENG,France: Provence & the Rhône Valley,Arles - Lyon,7,1,EN,ambiguous,1722,Day 7: Northern Rhône Wines: Tournon-sur-Rhône – Chavanay – Lyon,Optie 1,45.0,2.16,209.8,Redelijk,True
55191379|55487439,Oberwesel - Nierlahnstein 37km ENG,Rhine highlights between Koblenz and Duisburg,Koblenz - Duisburg - Koblenz,6,1,EN,ambiguous,1775,Day 6: In Beethoven's footsteps: Cologne – Bonn,Optie 1,38.0,0.52,289.4,Laag (niet toegepast),False
